s_num,ep_num,nth_s_ep,seg_num,seg_name,seg_url
1,Episode_19,26,2,Louis Carlucci,https://unsolvedmysteries.fandom.com//wiki/Louis_Carlucci
1,Episode_19,26,3,Lost Dutchman Mine,https://unsolvedmysteries.fandom.com//wiki/Lost_Dutchman_Mine
1,Episode_19,26,4,Thomas Hotard and Audrey Moate,https://unsolvedmysteries.fandom.com//wiki/Thomas_Hotard_and_Audrey_Moate
1,Episode_19,26,4,Thomas Hotard and Audrey Moate,https://unsolvedmysteries.fandom.com//wiki/Thomas_Hotard_and_Audrey_Moate
1,Episode_20,27,1,John Mooney,https://unsolvedmysteries.fandom.com//wiki/John_Mooney
1,Episode_20,27,2,Liz Carmichael,https://unsolvedmysteries.fandom.com//wiki/Liz_Carmichael
1,Episode_20,27,3,Annie Hearin,https://unsolvedmysteries.fandom.com//wiki/Annie_Hearin
1,Episode_20,27,4,Terri McClure,https://unsolvedmysteries.fandom.com//wiki/Terri_McClure
1,Episode_20,27,5,Charles Wickman,https://unsolvedmysteries.fandom.com//wiki/Charles_Wickman
1,Episode_21,28,1,Dexter Stefonek,https://unsolvedmysteries.fandom.com//wiki/Dexter_Stefonek
1,Episode_21,28,2,Jorge Cortez,https://unsolvedmysteries.fandom.com//wiki/Jorge_Cortez
1,Episode_21,28,3,mw-redirect,https://unsolvedmysteries.fandom.com//wiki/Heirs_of_Dan_Willains
1,Episode_21,28,4,Fumbles,https://unsolvedmysteries.fandom.com//wiki/Fumbles
1,Episode_21,28,5,Michael and Sharon Mohon,https://unsolvedmysteries.fandom.com//wiki/Michael_and_Sharon_Mohon
1,Episode_21,28,6,Larry Dennis Miller,https://unsolvedmysteries.fandom.com//wiki/Larry_Dennis_Miller
1,Episode_21,28,6,Curtis Watson,https://unsolvedmysteries.fandom.com//wiki/Curtis_Watson
1,Episode_21,28,6,Joseph Hutchinson,https://unsolvedmysteries.fandom.com//wiki/Joseph_Hutchinson
1,Episode_22,29,1,Gus Hoffman,https://unsolvedmysteries.fandom.com//wiki/Gus_Hoffman
1,Episode_22,29,2,Matthew Chase,https://unsolvedmysteries.fandom.com//wiki/Matthew_Chase
1,Episode_22,29,3,Ron Rushton,https://unsolvedmysteries.fandom.com//wiki/Ron_Rushton
1,Episode_22,29,4,Patsy Wright,https://unsolvedmysteries.fandom.com//wiki/Patsy_Wright
1,Episode_22,29,5,The Families of the S.S. Muskogee Crew,https://unsolvedmysteries.fandom.com//wiki/The_Families_of_the_S.S._Muskogee_Crew
1,Episode_23,30,1,Julie Cross,https://unsolvedmysteries.fandom.com//wiki/Julie_Cross
1,Episode_23,30,2,Angelo Desideri,https://unsolvedmysteries.fandom.com//wiki/Angelo_Desideri
1,Episode_23,30,3,Bicycle Bandit,https://unsolvedmysteries.fandom.com//wiki/Bicycle_Bandit
1,Episode_23,30,4,Kathy Power,https://unsolvedmysteries.fandom.com//wiki/Kathy_Power
1,Episode_23,30,5,Charles Nungesser and Francois Coli,https://unsolvedmysteries.fandom.com//wiki/Charles_Nungesser_and_Francois_Coli
1,Episode_24,31,1,Victorio Peak Treasure,https://unsolvedmysteries.fandom.com//wiki/Victorio_Peak_Treasure
1,Episode_24,31,2,Kari Lynn Nixon,https://unsolvedmysteries.fandom.com//wiki/Kari_Lynn_Nixon
1,Episode_24,31,3,David Rhodes,https://unsolvedmysteries.fandom.com//wiki/David_Rhodes
1,Episode_24,31,3,Keelan and David J. Rhodes,https://unsolvedmysteries.fandom.com//wiki/Keelan_and_David_J._Rhodes
1,Episode_25,32,1,Sheldon Weinberg,https://unsolvedmysteries.fandom.com//wiki/Sheldon_Weinberg
1,Episode_25,32,2,Gulf Breeze UFO,https://unsolvedmysteries.fandom.com//wiki/Gulf_Breeze_UFO
1,Episode_25,32,3,Joe Shepherd,https://unsolvedmysteries.fandom.com//wiki/Joe_Shepherd
1,Episode_25,32,4,Marlene Santana,https://unsolvedmysteries.fandom.com//wiki/Marlene_Santana
1,Episode_25,32,4,Carlina White,https://unsolvedmysteries.fandom.com//wiki/Carlina_White
1,Episode_25,32,4,Christopher Abeyta,https://unsolvedmysteries.fandom.com//wiki/Christopher_Abeyta
1,Episode_26,33,1,Barbara Jean Horn,https://unsolvedmysteries.fandom.com//wiki/Barbara_Jean_Horn
1,Episode_26,33,2,Liz Carmichael,https://unsolvedmysteries.fandom.com//wiki/Liz_Carmichael
1,Episode_26,33,3,The Brother of Sylvia Wemhoff,https://unsolvedmysteries.fandom.com//wiki/The_Brother_of_Sylvia_Wemhoff
1,Episode_27,34,1,Mike Riemer,https://unsolvedmysteries.fandom.com//wiki/Mike_Riemer
1,Episode_27,34,1,mw-redirect,https://unsolvedmysteries.fandom.com//wiki/Diane_Robertson
1,Episode_27,34,1,Stephen Harkins and Ruth Cooper,https://unsolvedmysteries.fandom.com//wiki/Stephen_Harkins_and_Ruth_Cooper
1,Episode_27,34,2,David Rhodes,https://unsolvedmysteries.fandom.com//wiki/David_Rhodes
1,Episode_27,34,2,Keelan and David J. Rhodes,https://unsolvedmysteries.fandom.com//wiki/Keelan_and_David_J._Rhodes
1,Episode_27,34,3,Michael and Sharon Mohon,https://unsolvedmysteries.fandom.com//wiki/Michael_and_Sharon_Mohon
1,Episode_27,34,4,Patsy Wright,https://unsolvedmysteries.fandom.com//wiki/Patsy_Wright
1,Episode_27,34,5,Jackie Harrington,https://unsolvedmysteries.fandom.com//wiki/Jackie_Harrington
1,Episode_28,35,1,Todd McAfee,https://unsolvedmysteries.fandom.com//wiki/Todd_McAfee
1,Episode_28,35,2,Ronald Denslow,https://unsolvedmysteries.fandom.com//wiki/Ronald_Denslow
1,Episode_28,35,3,Joseph Hutchinson,https://unsolvedmysteries.fandom.com//wiki/Joseph_Hutchinson
1,Episode_28,35,4,Victorio Peak Treasure,https://unsolvedmysteries.fandom.com//wiki/Victorio_Peak_Treasure
1,Episode_28,35,5,The Families of the S.S. Muskogee Crew,https://unsolvedmysteries.fandom.com//wiki/The_Families_of_the_S.S._Muskogee_Crew
2,Episode_29,1,1,Charles Mule,https://unsolvedmysteries.fandom.com//wiki/Charles_Mule
2,Episode_29,1,2,Lt. Karen Stephens,https://unsolvedmysteries.fandom.com//wiki/Lt._Karen_Stephens
2,Episode_29,1,3,Roswell Crash,https://unsolvedmysteries.fandom.com//wiki/Roswell_Crash
2,Episode_29,1,4,Tara Calico,https://unsolvedmysteries.fandom.com//wiki/Tara_Calico
2,Episode_29,1,4,Michael Henley,https://unsolvedmysteries.fandom.com//wiki/Michael_Henley
2,Episode_30,2,1,Jack Brown,https://unsolvedmysteries.fandom.com//wiki/Jack_Brown
2,Episode_30,2,2,Blinking Crucifix,https://unsolvedmysteries.fandom.com//wiki/Blinking_Crucifix
2,Episode_30,2,3,Sheldon Weinberg,https://unsolvedmysteries.fandom.com//wiki/Sheldon_Weinberg
2,Episode_30,2,4,Robert Dennie,https://unsolvedmysteries.fandom.com//wiki/Robert_Dennie
2,Episode_30,2,4,Melvin Edward Mays,https://unsolvedmysteries.fandom.com//wiki/Melvin_Edward_Mays
2,Episode_30,2,4,Leslie Isben Rogge,https://unsolvedmysteries.fandom.com//wiki/Leslie_Isben_Rogge
2,Episode_30,2,5,William Eugene Hilliard,https://unsolvedmysteries.fandom.com//wiki/William_Eugene_Hilliard
2,Episode_31,3,1,Kay Hall,https://unsolvedmysteries.fandom.com//wiki/Kay_Hall
2,Episode_31,3,2,Lt. Karen Stephens,https://unsolvedmysteries.fandom.com//wiki/Lt._Karen_Stephens
2,Episode_31,3,3,New York Coin Scam,https://unsolvedmysteries.fandom.com//wiki/New_York_Coin_Scam
2,Episode_31,3,4,mw-redirect,https://unsolvedmysteries.fandom.com//wiki/Mabel_Woods
2,Episode_31,3,5,mw-redirect,https://unsolvedmysteries.fandom.com//wiki/The_Crew_of_the_Sara_Joe
2,Episode_31,3,6,Avery Norris,https://unsolvedmysteries.fandom.com//wiki/Avery_Norris
2,Episode_32,4,1,Greg Webb,https://unsolvedmysteries.fandom.com//wiki/Greg_Webb
2,Episode_32,4,2,Billie and Joey Rogers,https://unsolvedmysteries.fandom.com//wiki/Billie_and_Joey_Rogers
2,Episode_32,4,3,John Mooney,https://unsolvedmysteries.fandom.com//wiki/John_Mooney
2,Episode_32,4,4,Gary and Terry Magno,https://unsolvedmysteries.fandom.com//wiki/Gary_and_Terry_Magno
2,Episode_32,4,5,Gene Kiley,https://unsolvedmysteries.fandom.com//wiki/Gene_Kiley
